Брэнд Макс
Адэр Гилберт
Альтов Генрих
Брехт Бертольт
Бойл Т. Корагессан
Аляхновіч Францішак
Берри Стив
Амаду Жоржи
Арджилли Марчелло
Бойн Джон
Амальрик Андрей
Боккаччо Джованни
Аматуни Петроний
Боланьо Роберто
Азерников Валентин
Абдуллаев Чингиз
Алейхем Шолом
Азимов Айзек
Брин Дэвид
Амлинский Владимир
Азольский Анатолий
Амнуэль Павел
Амнуэль Песах
Арканов Аркадий
Амосов Николай
Бродский Иосиф
Амутных Виталий
Абеляр Тайша
Айзенберг Михаил
Бэлоу Мэри
Айзман Давид
Айлетт Стив
Айлисли Акрам
Ананян Вахтанг
Айлс Грег
Айриш Уильям
Ангелов Андрей
Бротиган Ричард
Андерсен Ганс
Айтматов Чингиз
Андерсен Ганс Христиан
Бялик Хаим Нахман
Айхенвальд Юлий
Арро Владимир
Андерсен Ханс
Бонд Майкл
Бжехва Ян
Андерсон Кевин
Бианки Виталий
Бондарев Юрий
Акимушкин Игорь
Аккуратов Валентин
Акройд Питер
Вагнер Карл
Бруштейн Александра
Аберкромби Джо
Аксаков Константин
Бондаренко Вячеслав
Аксаков Сергей
Брэдбери Рэй
Брэдли Алан
Вайнер Аркадий
Брэдли Мэрион
Анджеевский Ежи
Билибин Виктор
Абнетт Дэн
Битов Андрей
Борисова Ариадна
Бугров Виталий
Борген Юхан
Буджолд Лоис
Будрис Альгис
Борн Георг
Абрамов Яков
Бородин Леонид
Андрич Иво
Бородин Сергей
Арцыбашев Михаил
Бласко Висенте
Андрухович Юрій
Борунь Кшиштоф
Абэ Кобо
Белых Григорий
Борхес Хорхе
Беляев Александр
Блейк Уильям
Авдеева Екатерина
Авдеенко Александр
Булгаков Михаил
Близнець Віктор
Аббасзаде Гусейн
Бир Грег
Ботева Мария
Аверин Никита
Аничков Евгений
Булгарин Фаддей
Блиш Джеймс
Аверкиев Дмитрий
Блок Александр
Бене Стивен
Аверченко Аркадий
Боуэн Джеймс
Авилова Лидия
Анненский Иннокентий
Боуэн Элизабет
Алексеев Сергей
Бунин Иван
Блох Роберт
Бунич Игорь
Авраменко Олег
Бурбо Лиз
Алексиевич Светлана
Блум Антоний
Бочкова Эльвира
Алексин Анатолий
Алеников Владимир
Алессандро Барикко
Бояндин Константин
Брюсов Валерий
Авторханов Абдурахман
Буркин Юлий
Брагинский Эмиль
Алешковский Юз
Антонов Сергей
Бобров Михаил
Бурносов Юрий
Брайдер Юрий
Буровский Андрей
Алимов Игорь
Брайсон Билл
Белов Василий
Брайт Поппи
Агнивцев Николай
Антропов Роман
Ануй Жан
Буссенар Луи
Агнон Шмуэль Йосеф
Аллан Коул
Аграновский Валерий
Аллен Вуди
Браннер Джон
Бердник Олесь
Аллен Карр
Браславский Дмитрий
Алданов Марк
Бирс Амброз
Адамов Аркадий
Браст Стивен
Адамов Григорий
Адамович Алесь
Аллен Стил
Адамович Георгий
Адамс Дуглас
Алмазов Борис
Априлов Борис
Браун Дэн
Алфеев Иларион
Адамс Роберт
Брянцев Георгий
Богословский Никита
Браун Фредерик
Альдани Лино
Арбенин Константин
Аджи Мурад
Альенде Исабель
Адига Аравинд
Арбитман Роман
Адра Фред
Бак Перл
Башевис Зингер Исаак
Горчаков Овидий
Бессон Люк
Бестер Альфред
Бестужев Николай
Гамзатов Расул
Афанасьев Роман
Гиппиус Зинаида
Гир Керстин
Балабуха Андрей
Афлатуни Сухбат
Гамильтон Питер
Гамильтон Эдмонд
Ахерн Сесилия
Гладков Теодор
Готье Теофиль
Ахманов Михаил
Ахматова Анна
Бегбеде Фредерик
Ахундов Мирза
Бегбедер Фредерик
Голицын Сергей
Бигл Питер
Глазов Григорий
Бикбаев Равиль
Гофф Инна
Бикчентаев Анвер
Гоцци Карло
Бедный Демьян
Бинчи Мейв
Бабель Исаак
Биссон Терри
Гланц Анатолий
Гравицкий Алексей
Градинар Дмитрий
Безуглов Анатолий
Глебова Ирина
Гарднер Дозуа
Гловацкий Януш
Бейджент Майкл
Гарднер Эрл
Глуховский Дмитрий
Глуховцев Всеволод
Бейли Алиса
Гареев Зуфар
Глушановский Алексей
Бадей Сергей
Баландин Рудольф
Гаршин Всеволод
Глёбус Адам
Грасс Гюнтер
Бажов Павел
Воронкова Любовь
Бобл Алексей
Граф Юрген
Гарифзянов Ренат
Винничук Юрій
Гоголь Николай
Байрон Джордж
Воронский Александр
Гарнер Алан
Беллоу Сол
Аникст Александр
Гаспарян Армен
Гауф Вильгельм
Бакли Кристофер
Гаррисон Гарри
Баллард Джеймс
Анненков Павел
Вишневский Всеволод
Гацура Геннадий
Балыко Диана
Гашек Ярослав
Бальмонт Константин
Балязин Вольдемар
Банг Герман
Вудивисс Кэтлин
Антоновская Анна
Банников Евгений
Банч Кристофер
Анчаров Михаил
Апдайк Джон
Вудхаус Пелам
Аполлинер Гийом
Барадулін Рыгор
Гейман Нил
Вулрич Корнелл
Гейне Генрих
Вулф Вирджиния
Арабов Юрий
Вулф Джин
Арагон Луи
Арбатова Мария
Владко Владимир
Гелприн Майк
Вулф Том
Белецкая Екатерина
Вулф Томас
Гельман Александр
Гоник Владимир
Бенаквиста Тонино
Баркер Клайв
Бенедетти Марио
Бенедикт Сарнов
Генри Лайон Олди
Амфитеатров Александр
Бакстер Стивен
Барков Иван
Бенедиктов Кирилл
Арментроут Дженнифер
Выставной Владислав
Барнс Джулиан
Георгиевская Елена
Вогт Ван
Барри Джеймс
Барри Лонгиер
Вознесенская Юлия
Габбе Тамара
Гор Видал
Возовиков Владимир
Герберт Брайан
Герберт Фрэнк
Артемьева Галина
Бенчли Питер
Баруздин Сергей
Гавран Миро
Горбатов Борис
Герланец Валерий
Герман Юрий
Горбовский Александр
Архангельский Александр
Гернет Нина
Голдинг Уильям
Гагарин Станислав
Басинский Павел
Бергман Ингмар
Герритсен Тесс
Герролд Дэвид
Гордер Юстейн
Газданов Гайто
Асадов Эдуард
Бердяев Николай
Гордон Гарри
Асеев Николай
Андреас Эшбах
Востоков Станислав
Батракова Наталья
Герчик Михаил
Батчер Джим
Асов Александр
Асприн Роберт
Баум Л.
Баум Лаймен
Астафьев Виктор
Галактионова Вера
Вострышев Михаил
Гарт Брет
Баух Эфраим
Ги Бретон
Гибер Эрве
Астуриас Мигель
Гибсон Уильям
Горовиц Энтони
Галина Мария
Берроуз Эдгар
Бачигалупи Паоло
Галич Александр
Городницкий Александр
Атеев Алексей
Бачило Александр
Гилберт Честертон
Гарт Никс
Арсеньев Владимир
Артамонов Вадим
Андраш Беркеши
Аникин Андрей
Гуин Урсула
Киплинг Редьярд
Бьюзен Тони
Вейо Клод
Винничук Юрий
Дик Иосиф
Ибрагимбеков Максуд
Кейбелл Джеймс
Дик Филип
Ибрагимбеков Рустам
Гумилёв Лев
Дарк Олег
Зверев Алексей
Коляда Николай
Гумилёв Николай
Зверев Максим
Великий Василий
Жуковский Василий
Ивакин Алексей
Бэнкс Иэн
Жукровский Войцех
Белый Андрей
Даррелл Лоренс
Дерлет Август
Ирвин Уэлш
Вирта Николай
Иванов Александр
Ирвин Шоу
Иванов Алексей
Кожин Олег
Вагинов Константин
Витале Джо
Гуревич Георгий
Быкаў Васіль
Вилье Жерар
Душенко Константин
Карим Мустай
Квин Лев
Велтистов Евгений
Звягинцев Василий
Иванов Анатолий
Кейт Лорен
Бенигсен Всеволод
Вельтман Александр
Виткович Виктор
Ермолаев Юрий
Вайнер Георгий
Дашвар Люко
Ерофеев Венедикт
Калогридис Джинн
Карпов Владимир
Бенуа Пьер
Грипе Мария
Дашкиев Николай
Дэвис Робертсон
Калугин Алексей
Бенфорд Грегори
Витткоп Габриэль
Конан Дойл Артур
Дилейни Джозеф
Вайсс Ян
Горелов Анатолий
Гурский Лев
Джебран Халиль
Ершов Василий
Келлерман Джонатан
Ваксберг Аркадий
Горенштейн Фридрих
Гришаев Андрей
Дашкієв Микола
Кальдерон Педро
Клавелл Джеймс
Берггольц Ольга
Иванов Вячеслав
Басё Мацуо
Вильмонт Екатерина
Данихнов Владимир
Квин Эллери
Коваль Юрий
Гурьянов Данил
Иванов Георгий
Кельман Даниэль
Козлов Вильям
Дворецкая Елизавета
Козлов Владимир
Джейкс Брайан
Димов Димитр
Кларк Артур
Кондратьев Александр
Валентинов Андрей
Кондратьев Василий
Карсон Маккалерс
Кларк Мэри
Козлов Николай
Джеймс Генри
Динец Владимир
Земляной Андрей
Кларк Смит
Козлов Юрий
Короленко Владимир
Кеннеди Дуглас
Гуссаковская Ольга
Де Лайон
Жуховицкий Леонид
Кларксон Джереми
Козловский Евгений
Лесков Сергей
Берроуз Уильям
Де Линт Чарльз
Зенкевич Михаил
Кларов Юрий
Данливи Джеймс
Заходер Борис
Киреев Руслан
Колупаев Виктор
Картер Лин
Кено Раймон
Бестужев Александр
Забирко Виталий
Вальзер Роберт
Владимирский Леонид
Заболоцкий Николай
Кеньон Шеррилин
Бетаки Василий
Владимов Г.
Гуцало Євген
Джеймс Филлис
Зиганшин Камиль
Бетанкур Джон
Владимов Георгий
Гуцко Денис
Зигель Феликс
Кервуд Джеймс
Клейн Жерар
Кони Анатолий
Бетев Сергей
Вампилов Александр
Верещагин Олег
Зигесар Сесили
Йейтс Уильям
Коничев Константин
Ван Вогт Альфред
Гуэрра Тонино
Завет Ветхий
Керет Этгар
Клейст Генрих
Девиль Александра
Кокто Жан
Биггерс Эрл
Ван Зайчик Хольм
Гроссман Василий
Деген Ион
Жаботинский Владимир
Клеменс Джеймс
Джекобс Д.
Дмитрук Андрей
Ивашкевич Ярослав
Каневский Александр
Леви Владимир
Лефорт Гертруд
Быков Василь
Гулиа Георгий
Дивер Джеффри
Жадан Сергій
Йовков Йордан
Колбасьев Сергей
Гюго Виктор
Джексон Ширли
Зингер Исаак
Йогананда Парамаханса
Загоскин Михаил
Ивик Олег
Ванденберг Филипп
Верн Жюль
Жаколио Луи
Кассиль Лев
Керуак Джек
Кликин Михаил
Колганов Андрей
Верн Жюль Габриэль
Вязников Павел
Дженнингс Гэри
Зинделл Дэвид
Ивнев Рюрик
Ваншенкин Константин
Задонский Николай
Иган Грег
Коршунов Михаил
Бобров Глеб
Внуков Николай
Задорнов Михаил
Иггульден Конн
Бобров Сергей
Варгас Фред
Задорнов Николай
Зиновьев Александр
Колдуэлл Эрскин
Богданов Александр
Варго Александр
Во Ивлин
Дейтон Лен
Джером Клапка
Вогт Альфред
Зайдель Януш
Кестнер Эрих
Быков Дмитрий
Веденская Татьяна
Емцев Михаил
Инглз Уайлдер Лора
Калашников Максим
Ковелер Дидье
Бодлер Шарль
Вознесенский Андрей
Давыдов Исай
Декстер Колин
Канторович Лев
Климов Григорий
Константинов Алеко
Кабаков Александр
Константинов Андрей
Добряков Владимир
Катасонова Елена
Войнович Владимир
Делерм Филипп
Варли Джон
Верче Дорин
Войскунский Е.
Войскунский Евгений
Босилек Ран
Дель Рей Лестер
Грэм Макнилл
Дель Торо Гильермо
Киз Грегори
Клычков Сергей
Варшавский Илья
Гулыга Арсений
Кови Стивен
Коржиков Виталий
Леннон Джон
Браун Лилиан
Весос Тарьей
Дайер Уэйн
Злотников Роман
Кизи Кен
Клэр Кассандра
Василевская Ванда
Каттнер Генри
Клюев Евгений
Брыль Янка
Вестдейк Симон
Даймонд Джаред
Джойс Грэм
Катценбах Джон
Кийосаки Роберт
Вестерфельд Скотт
Грэнджер Энн
Дайнеко Леонид
Джойс Джеймс
Желязны Роджер
Контровский Владимир
Жемайтис Сергей
Додолев Евгений
Зозуля Ефим
Васильев Александр
Ветемаа Энн
Джойс Оутс
Жеребцова Полина
Кадаре Исмаил
Костомаров Николай
Леднев Юрий
Ливанов Василий
Лондон Джек
Дементьев Андрей
Дойл Артур
Замостьянов Арсений
Ким Анатолий
Васильев Борис
Демиденко Михаил
Жеромский Стефан
Замыслов Валерий
Демидов Георгий
Замятин Евгений
Кафка Франц
Белгородский Юрий
Вежинов Павел
Гуль Роман
Дансени Лорд
Деннинг Трой
Жук Алесь
Колычев Владимир
Джонс Диана
Золотько Александр
Буковский Владимир
Виалар Поль
Даль Роальд
Золя Эмиль
Каралис Дмитрий
Виан Борис
Зангвилл Израэль
Джонсон Бен
Доктороу Кори
Заневский Анджей
Жиганец Фима
Зорин Иван
Иличевский Александр
Зорин Леонид
Казандзакис Никос
Линдгрен Астрид
Васильченко Степан
Губерман Игорь
Кобен Харлан
Котляр Юрий
Лори Андре
Булыга Сергей
Долгополов Николай
Казанцев Александр
Коломиец Максим
Визбор Юрий
Караславов Слав
Колосов Дмитрий
Иноуэ Ясуси
Коган Павел
Бурда Борис
Гуданец Николай
Дан Феликс
Жилинскайте Витауте
Каратеев Михаил
Володихин Дмитрий
Ильин Иван
Казменко Сергей
Караткевіч Уладзімір
Линдсей Джеффри
Волос Андрей
Демыкина Галина
Жильцова Наталья
Гудкайнд Терри
Данилкин Лев
Застырец Аркадий
Вилар Симона
Волошин Максимилиан
Данилов Дмитрий
Джордж Элизабет
Киноко Насу
Ковалевский Павел
Бутов Михаил
Житинский Александр
Лао Шэ
Лем Станислав
Бутэвіч Анатоль
Данилов Софрон
Житков Андрей
Кард Орсон
Волчек Дмитрий
Домбровский Юрий
Бушин Владимир
Вебб Холли
Деникин Антон
Гуин Ле
Вейнбаум Стенли
Данченко Владимир
Кирносов Алексей
Кэбот Мэг
Ларри Ян
Ленц Зигфрид
Горбовский Глеб
Громова Ариадна
Дорфман Михаэль
Корецкий Данил
Кей Гай Гэвриел
Мень протоиерей Александр
Горький Максим
Корнблат Сирил
Корнев Павел
Дрейк Дэвид
Кейн Джеймс
Корнель Пьер
Лу Эрленд
Корнешов Лев
Крюкова Тамара
Куняев Станислав
Мисима Юкио
Дробиз Герман
Крайтон Майкл
Крюс Джеймс
Линьков Лев
Грабал Богумил
Кемельман Гарри
Лейбер Фриц
Липатов Виль
Каинчин Дибаш
Волчек Яков
Грэм Хэнкок
Корнилов Борис
Мережковский Дмитрий
Митчард Жаклин
Липскеров Дмитрий
Лугонес Леопольдо
Маккирнан Деннис
Митчелл Дэвид
Витковский Евгений
Коржавин Наум
Крапивин Владислав
Липскеров Михаил
Грінченко Борис
Кертес Имре
Корнуэлл Бернард
Лейнстер Мюррей
Лир Эдвард
Грант Матевосян
Кетро Марта
Корнуэлл Патрисия
Лайл Гэвин
Друцэ Ион
Лайл Холли
Губарев Владимир
Вольф Сергей
Етоев Александр
Куберский Игорь
Матрос Лариса
Кинг Стивен
Гребнев Григорий
Кублицкий Георгий
Красницкий Евгений
Кураев Михаил
Витте Сергей
Громова Наталья
Леметр Пьер
Литвак Михаил
Литвинова Анна
Грей Аласдер
Коротич Виталий
Маковский Сергей
Гуляковский Евгений
Короткевич Владимир
Курдюмов Николай
Литвиновы Анна
Михайлов Владимир
Грей Зейн
Литвиновы Анна и Сергей
Коротков Юрий
Воронов Михаил
Клемент Хол
Крашевский Юзеф
Курков Андрей
Востряков Игорь
Грейвз Роберт
Дудко Дмитрий
Лукницкий Павел
Максимов Андрей
Кулиш Пантелеймон
Грейвс Роберт
Крейс Роберт
Лукницкий Сергей
Вронский Юрий
Кнаак Ричард
Крелин Юлий
Врочек Шимун
Кузмин Михаил
Лукодьянов Исай
Дурненков Вячеслав
Марков Сергей
Коряков Олег
Крес Феликс
Леонов Леонид
Леонов Николай
Лиханов Альберт
Крестинский Александр
Лукьяненко Сергей
Маяковский Владимир
Миксат Кальман
Вырыпаев Иван
Дуэйн Диана
Житков Борис
Крестовский Всеволод
Макьюэн Иэн
Грекова И.
Коринец Юрий
Крылов Иван
Лоуренс Дэвид Герберт
Макинтайр Вонда
Вэнс Джек
Колас Якуб
Леонтьев Дмитрий
Дышев Андрей
Майер Кай
Грешнов Михаил
Капоте Трумен
Костецкий Анатолий
Кривин Феликс
Леонтьев Константин
Лобановская Ирина
Джуан Стивен
Колина Елена
Михалков Сергей
Ларни Мартти
Гайдук Дмитрий
Ди Филиппо Пол
Дьяконов Юрий
Леранжис Питер
Майклз Барбара
Грибоедов Александр
Дик Филип К.
Коллинз Уилки
Ласкин Борис
Дэвид Питер
Костин Михаил
Мартел Янн
Михановский Владимир
Гроссман Давид
Коркищенко Алексей
Лоуренс Марк
Миронов Вячеслав
Диккенс Чарльз
Диксон Гордон
Майлз Розалин
Миллер Уолтер
Михасенко Геннадий
Гальего Рубен
Григорьев Аполлон
Кристи Агата
Майн Рид Томас
Гамарра Пьер
Лероев Михаил
Дилов Любен
Костырко Сергей
Гамсун Кнут
Кришнамурти Джидду
Лесков Николай
Локк Джон
Лурье Самуил
Гандлевский Сергей
Дилэни Сэмюэль
Кольцов Михаил
Крон Александр
Лутс Оскар
Лухманова Надежда
Майринк Густав
Лессинг Дорис
Гордон Ной
Корман Гордон
Коэльо Пауло
Гансовский Север
Добролюбов Николай
Гарди Томас
Грильпарцер Франц
Конде Альфредо
Котляревський Іван
Ле Гуин Урсула
Мейлер Норман
Млечин Леонид
Гримберг Фаина
Дюморье Дафна
Ломм Александр
Карр Джон
Кони А.
Мильтон Джон
Млодинов Леонард
Гарсиа Лорка Федерико
Доде Альфонс
Кэмпбелл Рэмси
Ли Бо
Герасимов Сергей
Дюрренматт Фридрих
Коннелли Майкл
Грин Александр
Лонг Фрэнк
Мартьянов Андрей
Дойль Артур Конан
Лонгфелло Генри
Макаренко Антон
Минаев Сергей
Кун Николай
